top - 22:07:21 up  4:28,  1 user,  load average: 1,49, 1,38, 1,69
Tareas: 447 total,   1 ejecutar,  445 hibernar,    0 detener,    1 zombie
%Cpu(s):  0,7 us,  2,6 sy,  2,2 ni, 94,0 id,  0,0 wa,  0,0 hi,  0,4 si,  0,0 st
MiB Mem :  64208,6 total,   2651,6 libre,   4995,4 usado,  56561,6 búfer/caché
MiB Intercambio:  20479,5 total,  17860,0 libre,   2619,5 usado.  54766,8 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
     80 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/10:0H-events_h+
     81 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/11
     82 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/11
     83 root      rt   0       0      0      0 S   0,0   0,0   0:00.35 migration/11
     84 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftirqd/11
     86 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/11:0H-events_h+
     87 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/12
     88 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/12
     89 root      rt   0       0      0      0 S   0,0   0,0   0:00.36 migration/12
     90 root      20   0       0      0      0 S   0,0   0,0   0:00.93 ksoftirqd/12
     92 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/12:0H-events_h+
     93 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/13
     94 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/13
     95 root      rt   0       0      0      0 S   0,0   0,0   0:00.36 migration/13
     96 root      20   0       0      0      0 S   0,0   0,0   0:00.62 ksoftirqd/13
     98 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/13:0H-events_h+
     99 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/14
    100 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/14
    101 root      rt   0       0      0      0 S   0,0   0,0   0:00.36 migration/14
    102 root      20   0       0      0      0 S   0,0   0,0   0:00.74 ksoftirqd/14
    104 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/14:0H-events_h+
    105 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/15
    106 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/15
    107 root      rt   0       0      0      0 S   0,0   0,0   0:00.36 migration/15
    108 root      20   0       0      0      0 S   0,0   0,0   0:00.66 ksoftirqd/15
    110 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/15:0H-events_h+
    111 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmpfs
    112 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-inet_
    114 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
    116 root      20   0       0      0      0 S   0,0   0,0   0:00.02 khungtaskd
    117 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_reaper
    119 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-write
    120 root      20   0       0      0      0 S   0,0   0,0   0:00.22 kcompactd0
    121 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
    124 root      39  19       0      0      0 S   0,0   0,0   0:00.00 khugepaged
    125 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kinte
    126 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kbloc
    127 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-blkcg
    128 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/9-acpi
    130 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-tpm_d
    131 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ata_s
    132 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-md
    133 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-md_bi
    134 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-edac-
    135 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-devfr
    136 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdogd
    137 root       0 -20       0      0      0 I   0,0   0,0   0:00.21 kworker/7:1H-kblockd
